OrderID,OrderDate,CustomerID,CustomerName,CustomerEmail,Country,ProductID,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,SalesRegion
1,2024-12-09,1849,Johnny Thompson,christinebailey@robinson.biz,British Virgin Islands,599,Electronics,Table,2,411.44,822.88,West
2,2024-04-18,1463,Christina Bowman,jennifersalazar@yahoo.com,Korea,524,Sports,Laptop,10,820.2,8202.0,North
3,2024-02-10,1308,Sean Harris,harold74@carrillo.com,American Samoa,583,Clothing,Table,5,922.09,4610.45,North
4,2025-04-07,1366,Tina Munoz,pcarlson@morrison.com,Togo,596,Sports,T-Shirt,4,814.39,3257.56,East
5,2024-05-31,1314,James Ford,qromero@castillo-jackson.com,Tonga,549,Electronics,Perfume,10,547.25,5472.5,South
6,2025-06-12,1525,Elizabeth Cunningham,karen47@lee-cox.com,Azerbaijan,537,Clothing,Shoes,5,978.02,4890.1,West
7,2023-07-04,1517,Lisa Ponce,mark14@burns.biz,Slovenia,560,Electronics,Table,1,330.2,330.2,West
8,2024-12-10,1577,Suzanne Bowen,bsmith@hotmail.com,Netherlands Antilles,565,Clothing,Bicycle,6,570.58,3423.48,South
9,2023-11-19,1825,Andrew Johnson,carolyn00@hotmail.com,Uruguay,514,Beauty,Tennis Racket,6,374.67,2248.02,West
10,2024-03-19,1514,Brenda Meyers,laurendaniels@yahoo.com,Saudi Arabia,593,Furniture,Perfume,7,176.95,1238.64999999999,East
11,2023-11-27,1306,Mrs. Stacy Conley,susanle@hart.net,Kuwait,515,Electronics,T-Shirt,7,727.3,5091.09999999999,West
12,2025-03-02,1065,Christopher Harris,elizabethwebb@waller.com,Botswana,592,Furniture,Bicycle,5,740.47,3702.35,North
13,2024-09-01,1558,Matthew Mcguire,michaelfrederick@bradley.biz,Argentina,600,Sports,Phone,10,599.52,5995.2,East
14,2025-05-24,1668,Megan Owens,gregoryregina@lopez.org,Ethiopia,559,Furniture,Phone,5,996.44,4982.2,East
15,2024-07-20,1252,Beverly Rose,panderson@norris.org,Qatar,564,Beauty,Tennis Racket,2,830.67,1661.34,East
16,2025-04-02,1248,Sharon Atkinson,coxlisa@ryan-ashley.org,Tajikistan,576,Furniture,T-Shirt,7,74.6,522.199999999999,North
17,2024-04-26,1906,William Fischer,johnsonmitchell@hotmail.com,United States Virgin Islands,586,Clothing,T-Shirt,8,959.73,7677.84,South
18,2025-02-17,1237,Austin Evans,claytonamy@gmail.com,Mexico,541,Beauty,Laptop,5,379.77,1898.85,Central
19,2025-03-18,1746,Amber Ward,castillosara@davis.com,Netherlands,559,Clothing,Table,5,611.69,3058.45,South
20,2024-11-14,1070,Randy Parks,mstevens@gmail.com,Samoa,530,Sports,Bicycle,6,215.82,1294.92,Central
21,2025-02-03,1412,Aaron Thomas,denisepowell@zimmerman-hale.com,Venezuela,575,Electronics,Phone,1,45.43,45.43,West
22,2024-07-14,1674,Jeanette Hunt,peggyhernandez@yahoo.com,Serbia,542,Electronics,Sofa,7,229.7,1607.89999999999,West
23,2023-10-13,1938,Jerry Sutton,grantandrew@dickson.com,Grenada,545,Beauty,T-Shirt,9,935.59,8420.31,East
24,2023-09-21,1734,Michael Johnson,munozgary@gmail.com,Namibia,568,Sports,Bicycle,3,40.73,122.19,East
25,2024-06-01,1438,Jason Brown,jsanchez@hotmail.com,Saudi Arabia,584,Sports,T-Shirt,6,283.05,1698.3,North
26,2024-03-09,1121,Daniel Martin,butlerfrank@maxwell-woodward.com,Guatemala,518,Electronics,Perfume,9,964.23,8678.07,South
27,2023-11-16,1766,Kevin Yang,robert93@wade-hickman.biz,Seychelles,505,Furniture,Laptop,4,649.89,2599.56,East
28,2024-08-14,1803,Allison Horton,tmoore@hotmail.com,Maldives,548,Beauty,Table,6,880.29,5281.74,Central
29,2024-09-14,1259,Vanessa Smith,wilsonamy@smith.com,Gambia,559,Sports,Sofa,3,262.7,788.099999999999,East
30,2025-05-25,1684,Donna Grant,savannahhull@gmail.com,Macedonia,545,Electronics,Shoes,5,327.9,1639.5,Central
